location,number_of_bedroom,access_to_school,access_to_hospital,access_to_market,total_sqft,SalePrice
Phường 6 Quận Gò Vấp,10,1,0,1,213.9,15311.20448
Phường 10 Quận 3,4,0,1,1,120,5426.4
Phường 13 Quận 6,8,1,1,1,225.6,19909.74304
Phường 10 Quận 10,8,0,0,0,194.5,5630.016
Phường 8 Quận Phú Nhuận,5,0,1,1,158,8663.04
Phường 8 Quận Phú Nhuận,9,0,1,1,505,30089.4
Phường 8 Quận Phú Nhuận,9,0,1,1,302.9,16408.11505
Phường 9 Quận Tân Bình,3,1,0,1,94,4300.08
Phường 3 Quận Gò Vấp,4,1,0,1,224.9,9359.87184
Phường 12 Quận Tân Bình,3,1,0,1,395.7,25369.13925
Phường Bình Trị Đông Quận Bình Tân,10,1,1,1,381.4,14544.2532
Phường Thạnh Mỹ Lợi Quận 2,4,0,0,0,167.2,7497
Phường 11 Quận 6,6,1,0,1,316.8,15903
Phường 8 Quận 3,12,1,1,1,551,33917.4
Phường 4 Quận 4,7,1,0,1,190,18741.95595
Phường 13 Quận Phú Nhuận,6,0,1,1,136,6331.104
Phường 7 Quận Phú Nhuận,5,0,0,0,171,11510.4
Phường 14 Quận 3,12,1,1,1,466.9,12681.9
Phường Nguyễn Cư Trinh Quận 1,4,1,1,1,172.3,10474.002
Phường 2 Quận 8,7,0,0,0,143.5,26722.8324
Phường 11 Quận Bình Thạnh,8,0,0,1,423.8,25543.14
Phường 9 Quận 3,8,0,0,0,177.8,17356.45836
Phường 2 Quận 3,4,0,0,0,207,13053.15972
Phường 10 Quận Gò Vấp,10,0,0,1,331.9,14997.1535
Phường 4 Quận 3,9,0,0,0,392.4,38265.045
Phường 4 Quận 3,8,0,0,0,196,9923.41
Phường Phạm Ngũ Lão Quận 1,4,0,0,1,121.6,5657.8125
Phường 3 Quận Bình Thạnh,4,0,0,0,114.9,12539.8218
Phường 8 Quận 3,10,1,0,1,476.3,40462.38
Phường Tân Thới Hòa Quận Tân Phú,17,1,0,1,582.3,16924.11
Phường 7 Quận Bình Thạnh,9,0,0,0,313.5,9326.2428
Phường 12 Quận 10,4,0,0,1,414,48172.32
Phường 10 Quận 10,4,0,0,0,268,13409.676
Phường 15 Quận Tân Bình,5,1,0,1,244.2,7143.86808
Phường 7 Quận 5,3,0,0,0,55.2,7756.6797
Phường 11 Quận 6,6,0,0,0,356.1,25668.05
Phường 9 Quận 3,4,1,0,1,100,5603.962
Phường 9 Quận Gò Vấp,5,1,0,1,238.9,10351.0953
Phường Phú Thạnh Quận Tân Phú,4,1,0,1,289.5,10299.8385
Phường 9 Quận Tân Bình,3,0,0,0,234,11362.275
Phường 12 Quận 11,8,1,1,1,265,23369.715
Phường 6 Quận Bình Thạnh,6,0,0,1,350.8,21909.9492
Phường Cầu Ông Lãnh Quận 1,18,1,1,1,438,17999.92386
Phường Long Trường Quận 9,8,1,0,1,304,6500.84
Phường Tân Tạo Quận Bình Tân,4,1,1,1,220,4200
Phường 12 Quận Gò Vấp,10,1,0,1,358.7,10542.84
