location,number_of_bedroom,access_to_school,access_to_hospital,access_to_market,total_sqft,SalePrice
Phường Bình Hưng Hòa A Quận Bình Tân,2,1,0,1,76.1,3062.976
Phường 12 Quận 6,2,0,0,0,36,3479.216
Phường 5 Quận 8,3,0,0,0,57.8,4477.68288
Phường 11 Quận 8,2,1,0,1,61.4,3567.04608
Phường 5 Quận Bình Thạnh,1,0,0,1,22.4,1582.87472
Phường 5 Quận Tân Bình,1,1,0,1,60.4,5199.216
Phường 3 Quận 8,2,1,0,1,48.2,2758.99008
Phường 3 Quận 8,4,1,0,1,40.5,4110.75
Phường 9 Quận 10,2,1,1,1,25.8,1505.1376
Phường 1 Quận 3,2,1,1,1,74.7,11981.87088
Phường 15 Quận 4,2,1,0,1,53.8,2402.496
Phường 9 Quận 4,2,1,0,1,49.4,3881.84392
Phường Trung Mỹ Tây Quận 12,2,0,0,0,30.7,4675.61
Phường 7 Quận 8,1,0,0,0,71.4,1888.91472
Phường 14 Quận Gò Vấp,3,1,0,1,99.4,4111.14312
Phường Bình Trị Đông A Quận Bình Tân,1,1,1,1,62.6,2809.03623
Phường 12 Quận Gò Vấp,2,1,0,1,49.8,4017.24344
Phường 16 Quận Gò Vấp,2,0,0,0,40.1,2734.64296
Phường Phú Thọ Hòa Quận Tân Phú,2,1,0,1,70,3666.92725
Phường 13 Quận 6,4,0,0,0,120.8,19451.53
Phường 14 Quận 6,2,1,0,1,26,2898.9331
Phường 5 Quận 8,2,0,0,0,65.8,2655.93132
Phường 11 Quận Bình Thạnh,2,0,0,1,96.4,4778.51136
Phường 25 Quận Bình Thạnh,3,0,0,1,108.5,5940.76
Phường 1 Quận 10,1,0,0,0,70.5,6056.6597
Phường 1 Quận 10,2,1,0,1,91.3,7086.1056
Phường Phạm Ngũ Lão Quận 1,1,1,0,1,95,9142.02016
Phường 14 Quận Gò Vấp,2,0,0,0,128,5253.65352
Phường 15 Quận 8,2,1,0,1,48.8,1974.15738
Phường 14 Quận Tân Bình,2,0,0,0,97.2,10248.16338
Phường 6 Quận 8,2,1,0,1,71.8,2449.34928
Phường 2 Quận 6,2,1,1,1,95.8,11508.05376
Phường 5 Quận 8,4,1,0,1,132.8,8026.1928
Phường 3 Quận Tân Bình,2,1,1,1,111.6,5659.758
Phường 3 Quận 8,2,1,0,1,49.1,2178.198
Phường 2 Quận 8,2,1,1,1,72,5709.69
Phường 21 Quận Bình Thạnh,2,0,0,1,52,3222.324
Phường 13 Quận 10,2,0,0,0,50.6,3098.2464
Phường 4 Quận 4,2,1,1,1,64,3645.72
Phường Tăng Nhơn Phú B Quận 9,2,1,0,1,95.3,5136.7899
Phường 8 Quận Gò Vấp,2,1,0,1,58,3206.9004
Phường 11 Quận 6,1,1,0,1,23.6,4399.04
Phường 1 Quận 10,2,1,1,1,44.2,3021.67261
Phường 9 Quận 4,1,1,0,1,73.6,5704.6572
Phường Hiệp Thành Quận 12,1,0,0,1,27.2,1290.64
Phường Thới An Quận 12,2,1,0,1,63.9,3001.214
Phường Hiệp Thành Quận 12,1,1,0,1,33.2,2511.6344
Phường Tăng Nhơn Phú B Quận 9,2,1,0,0,40,2036.328
Phường Linh Chiểu Thành phố Thủ Đức,3,1,0,1,78.4,5954.9776
Phường Tân Tạo Quận Bình Tân,3,1,0,1,98.8,7830.2
Phường Tam Phú Thành phố Thủ Đức,2,1,1,1,63.4,3611.5684
Xã Nhơn Đức Huyện Nhà Bè,2,1,1,1,71.6,1895.364
Phường Bình Trị Đông A Quận Bình Tân,1,1,1,1,67.8,3301.5836
Phường Bình Trị Đông A Quận Bình Tân,2,1,1,1,72.2,3924.96
Phường 16 Quận Gò Vấp,1,1,0,1,29.6,2602.9856
Phường 12 Quận Gò Vấp,2,1,0,1,48.8,3833.364
Phường Sơn Kỳ Quận Tân Phú,2,1,0,1,137,5521.872
Phường 16 Quận Gò Vấp,2,1,0,1,44.8,3800.2004
Phường 16 Quận Gò Vấp,2,1,0,0,59.2,3950.222
Phường 15 Quận Tân Bình,2,0,0,0,81.6,3749.52
Phường Tân Sơn Nhì Quận Tân Phú,3,1,0,1,85.4,3425.364
Phường An Lạc A Quận Bình Tân,3,1,1,1,65.5,7001.28
Phường 15 Quận Gò Vấp,2,1,0,0,84.9,4776.694
Phường 6 Quận Gò Vấp,2,1,0,1,75.6,4373.76
Phường Phú Thạnh Quận Tân Phú,2,1,0,1,50,3327.75
Xã Phước Kiển Huyện Nhà Bè,2,1,1,1,84,2360.28
Phường 11 Quận 6,1,0,0,0,40,2180.25
Phường 14 Quận 6,2,1,0,1,62.2,2886.345
Phường 17 Quận Gò Vấp,2,1,0,1,41.8,2193.8432
Phường 3 Quận 11,1,0,0,1,37.6,2660.908
Phường 14 Quận 6,2,1,1,1,39.8,4067.56
Phường 9 Quận 6,2,0,0,1,104,2916.112
Phường 5 Quận 6,1,1,0,1,46.1,3543.633
Phường Hòa Thạnh Quận Tân Phú,3,1,0,1,85,4534.92
Phường 13 Quận Tân Bình,1,0,0,0,108.4,7401.8
Phường Phú Thuận Quận 7,3,1,1,1,91.8,3635.28
Phường 3 Quận Gò Vấp,2,1,0,1,89,4457.4
Phường 5 Quận 11,1,1,0,1,33.8,1935.96
Phường 7 Quận Gò Vấp,1,1,0,1,25.6,1849.77
Phường 7 Quận Gò Vấp,2,0,0,1,47.8,2333.76
Phường 10 Quận Tân Bình,1,0,0,0,45.2,2907.136
Phường 10 Quận 11,2,1,0,1,110.2,12226.536
Phường 5 Quận 6,1,1,0,1,69.4,3437.06
Phường 1 Quận 6,2,1,0,1,55.8,4095.8168
Phường 8 Quận 11,2,0,0,0,59.3,4525.4
Phường 8 Quận 11,2,0,0,0,59.3,4777
Phường 11 Quận 11,2,0,0,0,21.6,2613.6
Phường Phú Trung Quận Tân Phú,2,1,0,0,92.8,6004.74
Phường 4 Quận Gò Vấp,2,1,0,1,122.6,6427.7
Xã Phước Kiển Huyện Nhà Bè,3,1,0,1,90.1,4278.747
Phường 14 Quận 11,2,1,1,1,76.7,5386.416
Phường 13 Quận 11,2,0,0,0,63.2,5118.768
Phường 3 Quận Tân Bình,1,0,0,0,58,4538.048
Phường 10 Quận 8,4,1,0,1,65.3,4610.4
Phường 9 Quận Phú Nhuận,2,0,0,0,26,7428.558
Phường 12 Quận Bình Thạnh,2,0,0,1,52.8,3806.572
Phường 6 Quận Tân Bình,2,0,0,0,114.7,14636.694
Phường Bình Thuận Quận 7,2,1,1,1,74.8,3530.73
Phường 5 Quận Tân Bình,2,1,0,1,76.9,6831.042
Phường 6 Quận 10,2,0,0,0,67.5,16967.2104
Phường 7 Quận Bình Thạnh,2,0,0,0,96.2,3403.4374
Phường 7 Quận Bình Thạnh,3,0,0,0,66,4940.88
Phường 12 Quận Bình Thạnh,2,0,0,0,45.1,4577.76
Phường 11 Quận 3,1,1,1,1,32.6,2095.828
Phường 13 Quận Phú Nhuận,3,0,0,0,79.4,5402.6
Phường 15 Quận Bình Thạnh,2,0,0,1,53.5,3720.3072
Phường 15 Quận Phú Nhuận,2,0,0,0,54.6,3848.8
Phường 3 Quận 8,2,1,0,1,212.2,21808.96
Phường 2 Quận Bình Thạnh,2,0,0,0,97.4,6326.38
Phường 7 Quận 3,1,1,0,1,69,5839.364
Phường 21 Quận Bình Thạnh,2,0,0,1,108.4,6404.563
Phường 13 Quận 10,2,0,0,0,80.8,7553.5488
Phường 1 Quận Bình Thạnh,2,1,0,1,40.4,15053.04
Phường 3 Quận Bình Thạnh,2,0,0,1,54,4477.562
Phường 2 Quận 10,2,0,0,0,123.1,14833.248
Phường 2 Quận 10,2,0,0,0,38.6,2761.65
Phường Cầu Kho Quận 1,3,1,0,1,94.6,12393
Phường Cô Giang Quận 1,1,1,0,1,44.2,3508.8
Phường Phước Long B Quận 9,2,1,0,1,50,3658.9287
Phường 16 Quận 8,2,1,0,1,114.3,5146.2912
Phường 5 Quận 8,2,1,0,1,49.4,2057.391
Phường 6 Quận 10,2,0,0,0,53.8,6367.2336
Phường 9 Quận 8,5,0,0,0,52.9,4164.73704
Phường 3 Quận 8,2,1,0,1,53,2762.2737
Phường 21 Quận Bình Thạnh,2,0,0,0,35.8,2200.25916
Phường 21 Quận Bình Thạnh,2,0,0,1,67.1,6037.59
Phường 1 Quận 10,2,0,0,0,58.1,4570.64886
Phường 3 Quận 3,2,0,0,0,78.8,8225.496
Phường 4 Quận 4,2,1,0,1,71.4,3611.81448
Phường 14 Quận 4,2,1,0,1,57,2185.41435
Thị trấn Nhà Bè Huyện Nhà Bè,2,1,1,1,100.5,3255.616
Phường Tân Quý Quận Tân Phú,2,0,0,1,62.3,3676.764
Phường Tân Quý Quận Tân Phú,1,1,0,1,25.3,1394.61504
Phường 7 Quận Gò Vấp,2,0,0,0,94.8,7274.7402
Phường 11 Quận Tân Bình,3,0,0,0,137.8,3592.5344
Phường 11 Quận Bình Thạnh,1,1,0,1,115.1,3347.552
Phường 15 Quận 10,1,0,0,0,48.6,3217.57072
Phường 8 Quận 3,1,1,1,1,41.4,2886.3679
Phường 13 Quận 10,2,1,1,1,81.7,6192.69066
Phường 8 Quận 4,2,1,0,1,59,1534.73632
Phường 2 Quận 4,2,1,0,1,108.7,5732.9532
Phường Hiệp Thành Quận 12,1,0,0,0,38.6,1754.74215
Phường Bình Hưng Hòa Quận Bình Tân,1,1,0,1,35,2588.16
Phường 7 Quận 6,6,1,0,1,79.5,9996.19173
Phường 15 Quận 8,2,1,0,1,78.8,3621.9412
Phường 13 Quận 6,2,0,0,1,68.6,12114.8804
Phường 5 Quận 8,2,0,0,0,18.5,1650.2
Phường 4 Quận 10,2,0,0,0,35.8,2983.3936
Phường 1 Quận 8,3,1,0,1,138.5,6889.8639
Phường Tân Định Quận 1,2,1,1,1,64.4,5076.0962
Phường 4 Quận 3,4,0,0,0,90.3,12071.5422
Phường 15 Quận 4,3,1,0,1,79.8,5322.915
Phường 3 Quận 4,1,1,0,1,80.8,4882.83344
Xã Xuân Thới Đông Huyện Hóc Môn,2,1,0,1,82.1,2472.0024
Phường 16 Quận Gò Vấp,2,1,0,1,73.3,3529.68
Phường 8 Quận Gò Vấp,2,1,0,1,84.8,1922.0712
Phường 8 Quận 6,2,1,0,1,51.9,3131.83584
Phường 7 Quận 6,2,1,0,1,74.6,3122.98896
Phường 3 Quận 6,1,0,0,1,81.3,5156.5248
Phường 9 Quận 8,2,1,0,0,50,3093.048
Phường 3 Quận Gò Vấp,2,1,1,1,83,4396.6944
Phường 9 Quận 8,1,1,0,1,65.2,2437.95552
Phường 3 Quận 8,2,1,0,1,63.5,3363.8976
Phường 3 Quận 8,2,1,0,1,63.5,3557.7024
Phường 12 Quận 3,6,1,1,1,76.9,7231.224
Phường 4 Quận 5,2,1,1,1,18.5,4254.768
Phường 16 Quận 8,2,0,0,0,75.6,2754.504
Xã Nhơn Đức Huyện Nhà Bè,2,1,0,1,83.8,2152.375
Phường 14 Quận Gò Vấp,2,1,0,1,65.9,3767.03815
Phường 12 Quận Gò Vấp,2,1,0,1,41.6,1840.4967
Phường 9 Quận Gò Vấp,2,1,0,1,107.4,7109.839
Phường 15 Quận 8,3,1,0,1,90,2850.113
Phường 8 Quận Gò Vấp,2,1,0,1,67.2,5106.48875
Phường 10 Quận Gò Vấp,2,0,0,1,56.6,3686.59125
Phường 15 Quận 8,2,0,0,0,70.3,2655.4512
Phường Phú Thọ Hòa Quận Tân Phú,2,1,0,1,167.5,7055.1
Phường Phú Thạnh Quận Tân Phú,2,1,0,1,66.6,3601.25
Phường 11 Quận 6,2,0,0,0,67,5292.531
Phường 8 Quận 6,2,1,0,1,107.8,4940.0775
Phường 3 Quận 11,2,0,0,0,77.7,17993.0845
Phường 9 Quận 6,1,1,1,1,78.1,3557.7
Phường 13 Quận Tân Bình,2,0,0,0,69.7,4127.6355
Phường Hòa Thạnh Quận Tân Phú,2,1,0,1,48.2,1210.02
Phường 4 Quận 6,2,0,0,1,118.2,3521.0175
Phường Hòa Thạnh Quận Tân Phú,1,1,0,1,40.4,2292.9276
Phường Hòa Thạnh Quận Tân Phú,2,1,0,1,40.4,2418.7
Phường 6 Quận 6,3,0,0,1,103.9,7744.128
Phường 1 Quận 6,2,1,0,1,172.7,18476.322
Phường 3 Quận Gò Vấp,2,1,1,1,64.4,4317.05455
Phường 5 Quận 11,2,1,0,1,84,3698.4
Phường 26 Quận Bình Thạnh,2,1,0,1,40.2,1248.813
Phường 13 Quận Bình Thạnh,2,0,0,1,52.8,2368.34615
Phường 12 Quận 11,2,1,1,1,69.8,5551.62
Phường 11 Quận 5,3,0,0,0,92.3,13829.52025
Phường 5 Quận Bình Thạnh,3,0,0,0,83.9,4454.5955
Phường 5 Quận Bình Thạnh,3,0,0,1,83.9,4731.3859
Phường 5 Quận Phú Nhuận,3,1,0,1,116.6,7778.7
Phường 12 Quận Bình Thạnh,2,0,0,1,29.4,2356.2225
Phường 15 Quận 10,2,1,1,1,31.7,4000.54
Phường 15 Quận 10,2,0,0,0,67.2,5962.6047
Phường 7 Quận Phú Nhuận,3,0,1,1,47.5,5299.0568
Phường 25 Quận Bình Thạnh,2,0,0,0,70,5147.0673
Phường 17 Quận Bình Thạnh,2,0,0,1,101.9,9692.94025
Phường 9 Quận 8,2,1,0,1,37.4,3066.8
Phường 9 Quận 8,2,1,0,1,37.4,3444.54
Phường Tân Thuận Tây Quận 7,2,1,1,1,65.4,2607.74385
Phường 11 Quận 3,3,1,1,1,98.8,22946.8635
Phường 1 Quận Phú Nhuận,2,0,1,1,31.6,3503.1017
Phường 1 Quận Phú Nhuận,2,0,0,0,31.6,4190.4815
Phường 17 Quận Phú Nhuận,1,0,0,0,42.7,3151.077
Phường 21 Quận Bình Thạnh,4,0,0,0,98.4,4692.9145
Phường 9 Quận 10,2,0,0,0,99.4,7084.7475
Phường 1 Quận 5,2,1,1,1,22.6,4951.66
Phường 15 Quận 4,2,1,0,1,113.2,5350.0036
Phường Cô Giang Quận 1,2,0,0,0,39.4,4330.88
Phường Cô Giang Quận 1,1,1,0,1,39.4,4330.88
Phường 14 Quận 4,1,1,0,1,60.4,2273.913
Phường Tân Chánh Hiệp Quận 12,2,1,0,1,51.6,2990.0682
Phường 15 Quận 8,2,1,0,1,71,2974.3702
Phường 11 Quận Gò Vấp,2,1,0,1,92.2,5419.0832
Phường 4 Quận 8,1,0,0,0,30.8,1473.5412
Phường 4 Quận 8,1,1,0,1,30.8,1584.9135
Phường 15 Quận 8,3,1,0,1,115.2,3342.672
Phường 5 Quận Gò Vấp,2,1,1,1,46.3,4157.298
Phường 3 Quận 8,2,1,0,1,32.4,2371.68
Phường 8 Quận 8,2,0,0,0,52.5,4240.65772
Phường 15 Quận 4,1,1,0,1,43.6,2626.10172
Phường 15 Quận 4,1,1,0,1,51.1,3276.7404
Phường 13 Quận 4,1,1,0,1,80,5049.5456
Xã Phú Xuân Huyện Nhà Bè,2,1,0,1,70,1604.394
Phường 7 Quận 8,2,1,0,1,113.4,3299.08761
Phường 11 Quận Bình Thạnh,2,0,0,0,88.4,3718.8441
Phường Tân Thuận Đông Quận 7,2,1,0,1,66.3,3965.364
Phường 12 Quận Gò Vấp,2,1,0,1,33,3900.6
Phường 8 Quận 6,2,1,0,1,52.4,2526.11496
Phường 14 Quận 8,2,0,0,0,55.3,2774.3912
Phường 12 Quận 8,2,1,0,1,52.5,3318.06112
Phường 5 Quận Phú Nhuận,1,0,0,0,46.2,2801.1836
Phường 15 Quận Bình Thạnh,4,0,0,1,148,6919.10576
Phường 13 Quận 6,2,0,0,0,37.6,3390.84675
Phường 8 Quận 6,1,0,0,0,27,2719.37022
Phường 5 Quận 8,2,1,0,1,54.6,2610.4646
Phường 11 Quận Phú Nhuận,1,0,0,0,109.9,5084.8551
Phường 4 Quận 3,5,0,0,0,108.5,12812.679
Phường 10 Quận 4,3,1,0,1,138,11971.44912
Phường Hiệp Thành Quận 12,2,1,0,1,50,1816.2144
Phường Bình Hưng Hòa B Quận Bình Tân,2,1,1,1,85.5,4430.58
Phường Tân Thới Hiệp Quận 12,2,1,0,1,94,3267
Phường Tam Bình Thành phố Thủ Đức,2,1,0,1,42.1,3043.425
Phường Tam Bình Thành phố Thủ Đức,2,1,1,1,42.1,3043.425
Xã Phú Xuân Huyện Nhà Bè,2,1,0,1,60,1448.7
Phường Bình Thọ Thành phố Thủ Đức,2,1,1,1,68,3479.52
Phường Bình Thọ Thành phố Thủ Đức,2,1,1,1,68,3600.96
Xã Nhơn Đức Huyện Nhà Bè,2,1,0,1,52.8,1449.36
Xã Nhơn Đức Huyện Nhà Bè,2,1,1,1,89,1982.475
Phường Linh Đông Thành phố Thủ Đức,2,1,0,1,64.3,3648.5625
Phường Phước Long B Quận 9,2,1,0,1,36,2670.1323
Phường Tân Hưng Thuận Quận 12,2,1,0,1,67.2,3208.92
Phường Trường Thọ Thành phố Thủ Đức,2,1,0,1,88.8,1839.486
Phường 8 Quận Gò Vấp,2,1,0,1,68,1734.15
Phường 12 Quận Gò Vấp,3,1,0,1,67.6,4382.532
Phường 15 Quận 8,2,1,0,1,50.5,2055.372
Phường Bình Hưng Hòa A Quận Bình Tân,2,1,1,1,73.2,2943.93
Phường Bình Trị Đông Quận Bình Tân,1,1,0,1,110.6,3253.635
Phường 16 Quận Gò Vấp,2,1,0,0,80.7,4221.7725
Phường 16 Quận Gò Vấp,2,1,0,1,57.9,3642.1407
Phường An Lạc Quận Bình Tân,2,1,1,1,58.7,2659.8429
Phường 15 Quận Tân Bình,2,0,0,0,97.6,4600.2
Phường Tân Quý Quận Tân Phú,2,1,0,1,111.1,3877.5
Phường 16 Quận Gò Vấp,1,1,1,1,46.6,2925.8658
Phường Bình Trị Đông Quận Bình Tân,2,1,0,1,49.6,2677.3065
Phường 10 Quận Gò Vấp,2,1,0,1,64.4,2499.8556
Phường Tân Quý Quận Tân Phú,2,1,0,1,74.6,3715.8
Phường 11 Quận Gò Vấp,4,1,0,1,82.3,3960.5643
Phường 15 Quận 8,2,1,0,1,70.3,2918.2032
Phường Phú Thọ Hòa Quận Tân Phú,2,0,0,0,74.7,4407.48
Phường Bình Trị Đông Quận Bình Tân,1,1,0,1,84,2899.3206
Phường Sơn Kỳ Quận Tân Phú,1,1,0,1,37.9,2396.5425
Phường 6 Quận Gò Vấp,1,1,0,1,27,2185.722
Phường 11 Quận Gò Vấp,2,1,1,1,60.9,2790.2886
Phường 9 Quận 6,1,1,0,1,52,8497.9125
Phường Phú Mỹ Quận 7,2,1,1,1,44.2,2811.27
Phường 15 Quận 8,2,1,0,1,38.6,2095.7244
Phường 10 Quận Gò Vấp,2,1,0,0,95.8,4303.728
Phường 17 Quận Gò Vấp,2,1,0,1,64,2728.902
Phường 11 Quận 6,2,0,0,0,81.6,5302.4928
Phường 14 Quận 6,1,0,0,0,40.2,1955.2995
Phường 3 Quận 11,2,1,1,1,64.8,3807.87
Phường 3 Quận 11,1,1,1,1,62.2,4877.4
Phường 3 Quận 11,1,0,0,1,63.6,6785.46
Phường 12 Quận 6,2,0,0,0,83.3,4478.76
Phường 9 Quận 6,2,1,0,1,71.7,3750.945
Phường 9 Quận 6,2,1,0,1,71.7,4498.9164
Phường 7 Quận 6,2,1,0,1,73.8,5218.29
Phường 6 Quận 8,2,1,0,1,74.4,2337.39
Phường 1 Quận 11,3,0,0,0,99,14166.9
Phường 5 Quận 6,2,1,0,1,37.6,3951.76
Phường Phú Thuận Quận 7,2,1,1,1,80,2998.71
Phường 6 Quận 6,4,1,0,1,106.6,7496.808
Phường 4 Quận Gò Vấp,1,1,0,1,46.2,2899.05
Phường 4 Quận Gò Vấp,2,1,0,1,74.4,3736.458
Phường 5 Quận 11,2,1,1,1,99.6,5156.6592
Phường 12 Quận 8,2,1,0,1,61.3,2740.3728
Phường 9 Quận 8,2,1,1,1,65.6,2946.372
Xã Phước Kiển Huyện Nhà Bè,2,1,0,1,46.2,1381.38
Xã Phước Kiển Huyện Nhà Bè,2,1,1,1,84,2598.75
Phường 5 Quận 8,2,1,0,1,34.7,3539.4711
Phường 10 Quận Tân Bình,2,1,1,1,45.3,3503.841
Phường 5 Quận 11,1,1,1,1,15,1519.65
Phường 9 Quận Tân Bình,7,1,0,1,65,16412.5
Phường 12 Quận Bình Thạnh,2,1,0,1,32.1,4699.44
Phường 14 Quận 11,1,1,0,1,55.2,5993.064
Phường 12 Quận 11,2,0,0,0,82.2,7743.12
Phường 11 Quận Bình Thạnh,2,1,0,1,40.3,2851.596
Phường 4 Quận 11,3,0,0,0,52.5,4617.756
Phường 11 Quận 11,2,1,1,1,36.4,3587.76
Phường 2 Quận Tân Bình,2,1,1,1,79.5,9493.44
Phường 7 Quận Tân Bình,2,1,1,1,69.9,4613.4
Phường 13 Quận 11,2,0,0,0,61,4463.316
Phường 3 Quận Tân Bình,2,1,1,1,71.6,6952.803
Phường 7 Quận 11,3,1,1,1,67.6,7726.752
Phường Tân Thuận Đông Quận 7,1,1,1,1,52.8,3336.96
Phường Tân Thuận Đông Quận 7,2,1,1,1,55.2,2579.28
Phường Tân Thuận Đông Quận 7,2,1,1,1,63.2,3111.9
Phường 5 Quận Bình Thạnh,2,0,0,1,62.3,4562.085
Phường 9 Quận Phú Nhuận,2,0,0,0,57.1,4950
Phường 4 Quận Phú Nhuận,2,0,0,0,56,3452.625
Phường 5 Quận Tân Bình,2,1,1,1,77,7458.165
Phường 6 Quận Bình Thạnh,2,0,0,1,107.8,5247.2013
Phường 7 Quận Bình Thạnh,3,0,0,1,99.4,4333.824
Phường 7 Quận 3,3,0,0,0,83.5,7512.516
Phường 7 Quận 3,3,0,0,0,83.5,7836.048
Phường 26 Quận Bình Thạnh,1,0,0,1,41.4,3706.296
Phường 10 Quận Phú Nhuận,2,1,0,1,86.2,6331.05
Phường 15 Quận 10,3,0,0,0,64,4989.6
Phường 10 Quận Phú Nhuận,2,0,1,1,78.7,4648.875
Phường 10 Quận Phú Nhuận,3,1,0,1,78.7,5169.4863
Phường 14 Quận Bình Thạnh,2,0,0,0,40,4035.2862
Phường 11 Quận 3,3,1,0,1,117.3,9622.8
Phường 7 Quận Phú Nhuận,3,0,0,0,71,4461.732
Phường 17 Quận Bình Thạnh,1,0,0,0,36.8,2495.8494
Phường 17 Quận Bình Thạnh,1,0,0,1,36.8,2787.7212
Phường 9 Quận 8,2,1,0,1,42,2363.328
Phường 3 Quận 8,1,1,0,1,33.8,2348.775
Phường 22 Quận Bình Thạnh,2,0,0,0,91.2,6103.1355
Phường 1 Quận 8,2,1,0,1,46.8,9388.08
Phường 3 Quận Bình Thạnh,2,0,0,1,53.6,3155.724
Phường Tân Hưng Quận 7,2,1,1,1,28.4,1463.946
Phường 2 Quận 10,3,0,0,0,123.1,13795.254
Phường 2 Quận 5,2,1,1,1,85.8,11447.37
Phường Tân Định Quận 1,2,1,0,1,65.6,11953.953
Phường 15 Quận Bình Thạnh,2,1,0,1,65.1,4371.51
Phường 15 Quận Bình Thạnh,2,1,0,1,34,4461.105
Phường 22 Quận Bình Thạnh,2,0,0,1,62,4231.128
Phường 1 Quận 3,2,0,0,0,68,6914.292
Phường 9 Quận 3,4,1,0,1,107.5,14081.76
Phường 15 Quận 4,2,1,0,1,108.3,3809.091
Phường 2 Quận 3,2,0,0,0,98.8,21427.56
Phường Cầu Kho Quận 1,1,1,0,1,70.2,12498.948
Phường 13 Quận 10,2,0,0,0,48.4,4664.88
Phường 10 Quận 3,2,0,0,0,54.5,5717.25
Phường 18 Quận 4,7,1,0,1,141.8,10418.1
Phường 15 Quận 4,1,1,0,1,50.2,3841.1604
Phường 4 Quận 3,1,0,0,0,94.2,5286.93
Phường Trường Thọ Thành phố Thủ Đức,1,1,0,1,71.9,3072.09672
Phường 13 Quận 6,2,1,0,1,37,3458.04004
Phường 5 Quận 8,2,0,0,0,25.2,2187.36
Phường 5 Quận 8,1,1,0,1,34.2,2063.08333
Phường 26 Quận Bình Thạnh,2,0,0,0,47.8,3415.58588
Phường 6 Quận Tân Bình,2,1,1,1,80.1,5692.687
Phường 11 Quận 3,2,0,0,1,83.6,8497.16525
Phường 18 Quận 4,2,1,0,1,64,3632.6864
Phường 18 Quận 4,4,1,0,1,152.5,11497.08924
Phường 16 Quận 4,2,1,0,1,48.1,1939.67872
Phường 9 Quận Gò Vấp,2,1,0,1,62,3349.126
Phường 9 Quận Gò Vấp,3,1,0,1,76,3622.5304
Phường 6 Quận Gò Vấp,2,1,1,1,60.2,4095.49984
Phường 10 Quận 6,2,0,0,0,55.1,3563.5724
Phường 6 Quận Gò Vấp,2,1,0,1,60.2,3788.6296
Phường 12 Quận 6,2,1,0,1,25.9,2198.91
Phường 6 Quận 8,2,0,0,1,25.6,1538.13632
Phường 1 Quận Gò Vấp,2,0,0,0,80,4572.6808
Phường 2 Quận Bình Thạnh,3,1,0,1,69.6,3993.4656
Phường 3 Quận Bình Thạnh,3,0,0,0,78.2,4383.29688
Xã Bà Điểm Huyện Hóc Môn,2,1,0,1,38.8,2101.48512
Phường Đông Hưng Thuận Quận 12,2,1,0,1,140,1309.22298
Phường Bình Trị Đông A Quận Bình Tân,2,1,1,1,63.5,3065.45496
Phường 8 Quận Gò Vấp,2,0,0,0,68.5,3203.83482
Phường 10 Quận 6,1,0,0,1,44.6,2617.8966
Phường 17 Quận Gò Vấp,1,1,0,1,26.8,1511.22069
Phường 17 Quận Gò Vấp,2,1,1,1,37.3,2305.4808
Phường 6 Quận 6,2,1,0,1,38.6,6701.06385
Phường 14 Quận 8,2,1,0,1,38.6,2166.69546
Phường Phú Thuận Quận 7,2,1,0,1,102.3,3803.8275
Phường 12 Quận 8,1,1,0,1,30.5,2227.6875
Phường 13 Quận 8,1,1,0,1,31.8,1585.59684
Phường 26 Quận Bình Thạnh,2,1,0,1,90.9,12871.7337
Phường 7 Quận Bình Thạnh,2,0,0,1,59.3,5489.5779
Phường 9 Quận 8,2,0,0,0,52,3816.18156
Phường 15 Quận Bình Thạnh,3,0,0,1,48.6,4613.97
Phường Tân Định Quận 1,2,1,1,1,36.8,7481.54745
Phường 10 Quận 4,2,1,0,1,31.2,1632.9726
Phường Hiệp Phú Quận 9,3,0,0,1,97.3,5159.5205
Phường Thạnh Lộc Quận 12,2,1,0,1,78.4,2595.81738
Xã Nhơn Đức Huyện Nhà Bè,2,1,1,1,60.6,2204.95968
Phường Bình Trị Đông Quận Bình Tân,1,1,0,1,50.8,2933.66096
Phường 12 Quận Gò Vấp,2,1,0,1,55,3254.784
Phường 15 Quận Tân Bình,1,1,0,1,88.3,3856.3518
Phường 10 Quận Gò Vấp,2,1,0,1,69.3,3728.60544
Phường 8 Quận 6,2,1,0,1,54,2559.1
Phường 13 Quận 6,2,1,0,1,45.8,3022.7535
Phường Tân Thành Quận Tân Phú,2,0,0,1,51.7,2671.67106
Phường 6 Quận Tân Bình,2,1,0,1,80.8,4976.064
Phường 4 Quận Phú Nhuận,2,1,0,1,71.9,6152.5002
Phường 12 Quận Bình Thạnh,2,0,0,0,47.1,3340.3101
Phường 9 Quận 8,1,1,0,1,45.8,1910.24264
Phường 9 Quận 10,2,0,0,0,36.6,5967.2344
Phường Cầu Kho Quận 1,2,1,0,1,48.9,4853.6184
Phường Hiệp Thành Quận 12,3,1,0,1,97.2,2997.54
Xã Bà Điểm Huyện Hóc Môn,3,0,0,0,64.7,3531.476
Xã Nhơn Đức Huyện Nhà Bè,2,1,0,1,112,3320.525
Phường 14 Quận Gò Vấp,2,1,0,1,79.9,3958.2725
Phường 8 Quận Gò Vấp,2,1,0,1,56,2845.31
Phường 15 Quận 8,2,1,0,1,39.2,2191.28
Phường 15 Quận 8,2,1,0,1,55,2259.53
Phường 15 Quận 8,2,1,0,1,71.3,2783.573
Phường 15 Quận Tân Bình,2,0,0,0,58.8,3649.9255
