number_of_bedroom,access_to_school,access_to_hospital,access_to_market,total_sqft,loc_lat,loc_long
7,1,0,1,307.2,10.7606098,106.7002155
12,1,0,1,295.7,10.8674793,106.6308264
5,1,1,1,279.6,10.7564887,106.6363871
5,0,0,0,353.6,10.7608856,106.673947
4,1,1,1,169.3,10.7752404,106.6476646
11,1,1,1,220.2,10.7834318,106.6711445
7,1,1,1,322.3,10.7555748,106.6571614
5,1,0,1,213.9,10.7751759,106.6483593
6,0,0,0,263.1,10.796862,106.6627266
9,0,0,0,251.7,10.8008215,106.6891843
8,1,0,1,392,10.7518495,106.7210763
3,1,0,1,176.5,10.7893937,106.6750618
10,1,1,1,264.1,10.7893937,106.6750618
4,0,1,1,364.1,10.7932029,106.6902032
8,1,0,1,252.7,10.7927877,106.6535333
5,1,0,1,386.2,10.7983497,106.6979736
6,1,1,1,255.2,10.7517747,106.6409703
6,0,0,0,189.7,10.7461861,106.6838342
8,1,0,1,279.4,10.7887766,106.7778996
5,1,1,1,275.4,10.7564887,106.6363871
7,1,1,1,251.7,10.7595922,106.6724599
7,1,0,1,240,10.8308859,106.6874859
5,0,0,0,343.4,10.8057596,106.7036345
3,1,1,1,56.3,10.7816101,106.6802073
4,0,1,1,83.3,10.7988373,106.6826542
4,0,0,0,179.9,10.7790976,106.6740219
6,0,1,1,228.4,10.7627708,106.6747445
5,0,0,1,169.5,10.8400608,106.7727309
6,1,0,1,218.1,10.8245952,106.7691909
5,0,0,1,285.5,10.7976093,106.6754549
7,1,1,1,106.1,10.7559646,106.683725
4,1,1,1,79.4,10.7902705,106.6614385
6,1,0,1,261.3,10.8123441,106.6930962
7,0,0,0,335.3,10.7648318,106.6655437
8,1,0,1,178.3,10.802271,106.7193849
8,1,0,1,200,10.7932029,106.6902032
10,1,0,1,200,10.7863145,106.6778478
5,1,1,1,225,10.7601241,106.6605532
4,0,0,0,112.6,10.7666896,106.6718421
15,1,0,1,260.1,10.8128209,106.6240969
9,1,0,1,124.4,10.763029,106.6985998
7,0,0,0,226.6,10.7549073,106.6603585
4,0,0,0,140,10.7656931,106.6676254
8,1,1,1,139.2,10.7635026,106.6905496
5,1,1,1,74.5,10.7608356,106.6420415
9,0,0,0,205.6,10.7546238,106.6841626
7,0,1,1,186.6,10.7693455,106.6782709
2,1,1,1,115.8,10.7701119,106.6820703
4,1,1,1,59,10.7633696,106.7037801
3,1,1,1,95.6,10.7320375,106.6155543
6,0,0,0,129.4,10.7693455,106.6782709
3,0,0,0,101.3,10.805877,106.6815741
9,0,0,0,249.3,10.8073614,106.6922178
8,1,1,1,87,10.7607497,106.696815
5,1,0,1,122.8,10.7725777,106.6821041
3,0,0,0,59.5,10.7597009,106.6633761
3,1,1,1,29.9,10.7634956,106.6531711
5,1,0,1,494.4,10.7487536,106.611218
6,1,1,1,633,10.7480982,106.635376
4,0,0,0,382,10.8052539,106.6819825
4,1,0,1,111.2,10.7984524,106.6913596
3,1,1,1,279.8,10.8275651,106.6907426
14,0,0,0,268,10.7361952,106.6744845
8,1,1,1,271.2,10.7460744,106.6963946
11,1,0,1,669.4,10.845424,106.7664221
19,1,0,1,310,10.7802551,106.6553491
4,1,0,1,631.6,10.8518876,106.7454564
10,1,0,0,1053.1,10.8387845,106.6562959
7,1,1,1,480.1,10.7587531,106.6924052
5,0,0,0,720,10.7446686,106.6488494
3,1,0,1,612.5,10.794853,106.6615202
20,0,1,1,962,10.8308859,106.6874859
4,1,1,1,638.8,10.7736451,106.6830193
21,1,0,1,789.9,10.7843288,106.7723751
22,0,0,1,780.8,10.8491963,106.8076873
4,0,0,1,85.2,10.7999062,106.693992
39,0,0,0,800,10.7976093,106.6754549
9,0,0,1,323.9,10.7587531,106.6924052
3,1,1,1,88.5,10.7884755,106.698318
4,1,0,1,339.3,10.834556,106.6644038
38,1,0,1,466.8,10.8469185,106.6359936
41,1,1,1,700,10.7757553,106.6140471
8,0,0,0,420.7,10.8268146,106.6369184
28,1,0,1,633.9,10.7321487,106.6336395
10,1,1,1,900,10.7453105,106.6303626
22,1,0,1,336.8,10.8316809,106.6924736
16,1,0,1,684.8,10.7424863,106.7157197
10,0,0,0,343.4,10.7973984,106.6876578
36,1,1,1,252.8,10.7597838,106.5949854
8,1,1,1,323.2,10.7751759,106.6483593
3,1,0,1,239,10.7834318,106.6711445
14,1,0,1,270,10.7595027,106.6840512
6,0,0,0,408.6,10.7369433,106.7182479
3,1,1,1,144,10.7925368,106.6896904
5,0,0,0,170.5,10.8220042,106.6305757
10,1,0,0,354,10.7812343,106.7026503
6,1,0,1,204,10.7395923,106.6401008
20,0,1,1,659.3,10.7893937,106.6750618
38,0,0,0,1015.1,10.7893937,106.6750618
5,0,1,1,374.8,10.8308859,106.6874859
20,1,0,1,491,10.8379313,106.6523565
3,0,0,0,335.4,10.7932029,106.6902032
5,0,0,0,320,10.7954868,106.6716112
6,1,0,1,72,10.7905096,106.6689641
5,1,0,1,346.4,10.8300283,106.7220192
3,0,0,0,172.5,10.8057383,106.6841756
1,0,0,0,346.5,10.7918939,106.6722005
4,1,0,1,183.9,10.8402807,106.6517274
4,0,0,0,386.7,10.7578668,106.6354362
3,1,0,1,378.4,10.7867852,106.6736726
5,1,0,1,279.3,10.8493756,106.6648591
44,0,0,0,735.7,10.7796321,106.6471816
6,0,0,0,308.2,10.8126728,106.7096212
6,1,0,1,481.1,10.846861,106.6512669
22,1,0,1,69.1,10.8630869,106.7756773
5,1,0,1,293.5,10.7896836,106.6500711
19,0,0,0,427,10.8185095,106.6989478
5,1,0,1,242.1,10.8430374,106.6371653
18,0,0,0,345,10.7614694,106.666734
7,1,0,1,278.1,10.8518876,106.7454564
15,0,0,1,469.1,10.7546839,106.6391842
5,1,0,1,276.6,10.8447415,106.668255
5,1,1,1,213.8,10.7677819,106.6197497
6,1,0,1,383.5,10.8300283,106.7220192
4,1,0,1,226.4,10.7854297,106.6469122
6,1,0,1,358.2,10.7261719,106.7100647
