SalePrice,location_street,location_ward,location_district,number_of_toilet,access_to_school,access_to_hospital,access_to_market,number_of_floor,is_having_basement,is_having_attic_floor,is_having_rooftop,alley_width,number_of_bedroom,loc_lat,loc_long,total_sqft
16932.24,Đường Nguyễn Trãi,Phường 7 Quận 5,Quận 5,6,1,1,1,6,0,0,1,20,5,10.75501,106.6716589,208.4
30084.9024,Đường Nguyễn Văn Yến,Phường Tân Thới Hòa Quận Tân Phú,Quận Tân Phú,54,1,0,1,5.5,0,0,1,6,54,10.7646841,106.6252157,1584.9
20812.54,Đường Võ Thị Sáu,Phường 8 Quận 3,Quận 3,6,0,0,0,5.5,1,0,0,5,8,10.7427341,106.6393392,364
60622.1364,Đường Khu Dân Cư Miếu Nổi,Phường 3 Quận Bình Thạnh,Quận Bình Thạnh,35,0,0,1,5.5,0,0,0,20,35,10.7999062,106.693992,626.9
32672.0212,Đường Lê Đức Thọ,Phường 16 Quận Gò Vấp,Quận Gò Vấp,73,1,0,1,5.5,0,0,1,7.2,73,10.8474826,106.6689658,1478.4
41994.23,Đường Tân Thuận Tây,Phường Bình Thuận Quận 7,Quận 7,50,0,0,0,5.5,1,0,1,4.5,50,10.749554,106.7269463,1410.6
52699.248,Đường Lạc Long Quân,Phường 10 Quận 11,Quận 11,10,0,0,0,5.5,0,0,1,18,10,10.7629011,106.6421524,581.3
17064,Đường Tân Kỳ Tân Quý,Phường Bình Hưng Hòa Quận Bình Tân,Quận Bình Tân,51,1,0,1,5.5,1,0,1,5,51,10.8019648,106.6214131,885.1
22075.81614,Đường Số 3,Phường Trường Thọ Thành phố Thủ Đức,Thành phố Thủ Đức,17,1,0,1,5.5,0,0,1,6,15,10.8422661,106.7570208,596.1
17431.512,Đường Lê Duy Nhuận,Phường 12 Quận Tân Bình,Quận Tân Bình,10,1,0,1,5.5,0,0,0,6,18,10.7972646,106.6482098,509.9
31151.952,Đường Đô Đốc Long,Phường Tân Quý Quận Tân Phú,Quận Tân Phú,40,1,0,1,5.5,1,0,1,12,40,10.7917339,106.6276121,1027.1
31743.04,Đường Tân Sơn,Phường 12 Quận Gò Vấp,Quận Gò Vấp,23,1,0,1,5.5,0,0,0,5,23,10.8282211,106.6424857,676.8
40496,Đường Lý Chính Thắng,Phường 8 Quận 3,Quận 3,13,0,0,0,5.5,1,0,1,6,13,10.7427341,106.6393392,811
11972.48,Đường Đào Duy Anh,Phường 9 Quận Phú Nhuận,Quận Phú Nhuận,5,0,0,0,5.5,0,0,0,5,5,10.8068583,106.6758848,189.6
